Chapter/heading/ sub-heading,Description,Product Specific Rule of Origin,needs_manual_check
42.02.22,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)","A change to subheading 42.02.22 from any other chapter, except from heading 54.07, 54.08 or 55.12 through 55.16 or tariff item 59.03.10.aa, 59.03.20.aa, 59.03.90.aa, 59.06.99.aa or 59.07.00.aa",0
42.02.29-42.02.31,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)",A change to subheading 42.02.29 through 42.02.31 from any other chapter,0
42.02.32,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)","A change to subheading 42.02.32 from any other chapter, except from heading 54.07, 54.08 or 55.12 through 55.16 or tariff item 59.03.10.aa, 59.03.20.aa, 59.03.90.aa, 59.06.99.aa or 59.07.00.aa",0
42.02.39-42.02.91,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)",A change to subheading 42.02.39 through 42.02.91 from any other chapter,0
42.02.92,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)","A change to subheading 42.02.92 from any other chapter, except from heading 54.07, 54.08 or 55.12 through 55.16 or tariff item 59.03.10.aa, 59.03.20.aa, 59.03.90.aa, 59.06.99.aa or 59.07.00.aa",0
42.02.99,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)",A change to subheading 42.02.99 from any other chapter,0
42.03-42.06,"Articles of Leather; Saddlery and Harness; Travel Goods, Handbags and Similar Containers; Articles of Animal Gut (Other Than Silk-Worm Gut)",A change to heading 42.03 through 42.06 from any other chapter,0
Chapter 43,Furskins and Artificial Fur; Manufactures thereof,,0
43.01,Furskins and Artificial Fur; Manufactures thereof,A change to heading 43.01 from any other chapter,0
43.02,Furskins and Artificial Fur; Manufactures thereof,A change to heading 43.02 from any other heading,0
43.03-43.04,Furskins and Artificial Fur; Manufactures thereof,A change to heading 43.03 through 43.04 from any heading outside that group,0
Chapter 44,Wood and Articles of Wood; Wood Charcoal,,0
44.01-44.21,Wood and Articles of Wood; Wood Charcoal,"A change to heading 44.01 through 44.21 from any other heading, including another heading within that group",0
Chapter 45,Cork and Articles of Cork,,0
45.01-45.04,Cork and Articles of Cork,"A change to heading 45.01 through 45.04 from any other heading, including another heading within that group",0
Chapter 46,"Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",,0
46.01,"Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",A change to heading 46.01 from any other chapter,0
46.02,"Manufactures of Straw, of Esparto or of Other Plaiting Materials; Basketware and Wickerwork",A change to heading 46.02 from any other heading,0
Chapter 47,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard,,0
47.01-47.07,Pulp of Wood or of Other Fibrous Cellulosic Material; Waste and Scrap of Paper or Paperboard,A change to heading 47.01 through 47.07 from any other chapter,0
Chapter 48,"Paper and Paperboard; Articles of Paper Pulp, of Paper or of Paperboard",,0
48.01-48.09,"Paper and Paperboard; Articles of Paper Pulp, of Paper or of Paperboard","A change to heading 48.01 through 48.09 from any other heading, including another heading within that group",0
48.10.13-48.11.90,"Paper and Paperboard; Articles of Paper Pulp, of Paper or of Paperboard","A change to subheading 48.10.13 through 48.11.90 from any other subheading, including another subheading within that group",0
48.12-48.23,"Paper and Paperboard; Articles of Paper Pulp, of Paper or of Paperboard","A change to heading 48.12 through 48.23 from any other heading, including another heading within that group",0
Chapter 49,"Printed Books, Newspapers, Pictures and Other Products of the Printing Industry; Manuscripts, Typescripts and Plans",,0
49.01-49.11,"Printed Books, Newspapers, Pictures and Other Products of the Printing Industry; Manuscripts, Typescripts and Plans",A change to heading 49.01 through 49.11 from any other chapter,0
Chapter 50,Silk,,0
50.01-50.03,Silk,A change to heading 50.01 through 50.03 from any other chapter,0
50.04-50.06,Silk,A change to heading 50.04 through 50.06 from any heading outside that group,0
50.07,Silk,A change to heading 50.07 from any other heading,0
Chapter 51,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric",,0
51.01-51.05,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric",A change to heading 51.01 through 51.05 from any other chapter,0
51.06-51.10,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric",A change to heading 51.06 through 51.10 from any heading outside that group,0
51.11,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric","A change to heading 51.11 from any other heading, except from heading 51.06 through 51.10, 51.12 through 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10",0
51.12.11,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric","A change to a woven fabric, other than a tapestry fabric or upholstery fabric of a weight not exceeding 140 grams per square metre, of combed fine animal hair of subheading 51.12.11 from yarn of combed camel hair or combed cashmere of subheading 51.08.20 or any other heading, except from heading 51.06 through 51.07, any other good of heading 51.08 or heading 51.09 through 51.11, 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10; or A change to any other good of subheading 51.12.11 from any other heading, except from heading 51.06 through 51.11, 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10.",0
51.12.19,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric","A change to a woven fabric, other than a tapestry fabric or upholstery fabric, of combed fine animal hair of subheading 51.12.19 from yarn of combed camel hair or combed cashmere of subheading 51.08.20 or any other heading, except from heading 51.06 through 51.07, any other good of heading 51.08 or heading 51.09 through 51.11, 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10; or A change to any other good of subheading 51.12.19 from any other heading, except from heading 51.06 through 51.11, 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10.",0
51.12.20-51.12.90,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric","A change to subheading 51.12.20 through 51.12.90 from any other heading, except from heading 51.06 through 51.11, 51.13, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10",0
51.13,"Wool, Fine or Coarse Animal Hair; Horsehair Yarn and Woven Fabric","A change to heading 51.13 from any other heading, except from heading 51.06 through 51.12, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10",0
Chapter 52,Cotton,,0
52.01-52.03,Cotton,A change to heading 52.01 through 52.03 from any other chapter,0
52.04-52.07,Cotton,"A change to heading 52.04 through 52.07 from heading 52.01 through 52.03 or any other chapter, except from heading 54.01 through 54.05",0
52.08-52.12,Cotton,"A change to heading 52.08 through 52.12 from any heading outside that group, except from heading 51.06 through 51.10, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10",0
Chapter 53,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn,,0
53.01-53.05,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn,A change to heading 53.01 through 53.05 from any other chapte,0
53.06-53.08,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn,A change to heading 53.06 through 53.08 from any heading outside that group,0
53.09,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn,"A change to heading 53.09 from any other heading, except from heading 53.07 through 53.08",0
53.10-53.11,Other Vegetable Textile Fibres; Paper Yarn and Woven Fabrics of Paper Yarn,"A change to heading 53.10 through 53.11 from any heading outside that group, except from heading 53.07 through 53.08",0
Chapter 54,Man-Made Filaments,,0
54.01-54.06,Man-Made Filaments,A change to heading 54.01 through 54.06 from any other heading,0
54.07.10-54.07.54,Man-Made Filaments,"A change to subheading 54.07.10 through 54.07.54 from any other chapter, except from heading 51.06 through 51.10, 52.05 through 52.06 or 55.09 through 55.10",0
54.07.61,Man-Made Filaments,"A change to voile of subheading 54.07.61 from any other heading; or A change to any other good of subheading 54.07.61 from any other chapter, except from heading 51.06 through 51.10, 52.05 through 52.06 or 55.09 through 55.10. 54.07.69–54.07.94  A change to subheading 54.07.69 through 54.07.94 from any other chapter, except from heading 51.06 through 51.10, 52.05 through 52.06 or 55.09 through 55.10.",0
54.08,Man-Made Filaments,"A change to heading 54.08 from filament yarn of viscose rayon of heading 54.03 or any other chapter, except from heading 51.06 through 51.10, 52.05 through 52.06 or 55.09 through 55.10",0
Chapter 55,Man-Made Staple Fibres,,0
55.01-55.07,Man-Made Staple Fibres,"A change to heading 55.01 through 55.07 from any other chapter, except from heading 54.01 through 54.05",0
55.08,Man-Made Staple Fibres,"A change to heading 55.08 from any other heading, except from heading 54.01 through 54.05",0
55.09.11-55.09.22,Man-Made Staple Fibres,"A change to subheading 55.09.11 through 55.09.22 from any other chapter, except from heading 54.01 through 54.05",0
55.09.31,Man-Made Staple Fibres,"A change to subheading 55.09.31 from acid-dyeable acrylic tow of subheading 55.01.30 or any other chapter, except from heading 54.01 through 54.05",0
55.09.32-55.09.99,Man-Made Staple Fibres,"A change to subheading 55.09.32 through 55.09.99 from any other chapter, except from heading 54.01 through 54.05",0
55.10-55.11,Man-Made Staple Fibres,"A change to heading 55.10 through 55.11 from any other chapter, except from heading 54.01 through 54.05",0
55.12-55.16,Man-Made Staple Fibres,"A change to heading 55.12 through 55.16 from any heading outside that group, except from heading 51.06 through 51.10, 52.05 through 52.06, 54.01 through 54.04 or 55.09 through 55.10",0
Chapter 56,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof",,0
56.01,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof",A change to heading 56.01 from any other heading,0
56.02-56.05,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof","A change to heading 56.02 through 56.05 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
56.06,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof","A change to heading 56.06 from flat yarns of subheading 54.02.45 or any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, or Chapter 54 or heading 55.09 through 55.16.",0
56.07-56.09,"Wadding, Felt and Nonwovens; Special Yarns; Twine, Cordage, Ropes and Cables and Articles Thereof","A change to heading 56.07 through 56.09 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
Chapter 57,Carpets and Other Textile Floor Coverings,,0
57.01-57.05,Carpets and Other Textile Floor Coverings,"A change to heading 57.01 through 57.05 from any other heading, including another heading within that group",0
Chapter 58,Special Woven Fabrics; Tufted Textile Fabrics; Lace; Tapestries; Trimmings; Embroidery,,0
58.01-58.11,Special Woven Fabrics; Tufted Textile Fabrics; Lace; Tapestries; Trimmings; Embroidery,"A change to heading 58.01 through 58.11 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
Chapter 59,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use",,0
59.01,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.01 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.10 through 53.11, 54.07 through 54.08 or 55.12 through 55.16",0
59.02,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.02 from any other heading, except from heading 51.06 through 51.13, 52.04 through 52.12 or 53.06 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
59.03-59.08,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.03 through 59.08 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.10 through 53.11, 54.07 through 54.08 or 55.12 through 55.16",0
59.09,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.09 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12 or 53.10 through 53.11, Chapter 54 or heading 55.12 through 55.16",0
59.10,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.10 from any other heading, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
59.11,"Impregnated, Coated, Covered or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.11 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.10 through 53.11, 54.07 through 54.08 or 55.12 through 55.16",0
Chapter 60,Knitted or Crocheted Fabrics,,0
60.01-60.06,Knitted or Crocheted Fabrics,"A change to heading 60.01 through 60.06 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.09 through 55.16",0
Chapter 61,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,0
61.01.20-61.01.30,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.01.20 through 61.01.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.01.90,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to a good of wool or fine animal hair of subheading 61.01.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein; or A change to any other good of subheading 61.01.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties.",0
61.02.10-61.02.30,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.02.10 through 61.02.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.02.90,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.02.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.03.10,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to a suit of textile material other than wool or fine animal hair, synthetic fibre, artificial fibre or cotton of subheading 61.03.10 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties; or A change to any other good of subheading 61.03.10 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.03.22-61.03.29,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.22 through 61.03.29 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.03.31-61.03.33,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.31 through 61.03.33 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.03.39.aa,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to tariff item 61.03.39.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.03.39,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.39 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.03.41-61.03.49,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.41 through 61.03.49 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.04.13,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.13 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to a good of other than artificial fibre of subheading 61.04.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties; or A change to any other good of subheading 61.04.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties; and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.22-61.04.29,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.22 through 61.04.29 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) with respect to a garment described in heading 61.02, a jacket or a blazer described in heading 61.04, or a skirt described in heading 61.04, of wool, fine animal hair, cotton or man-made fibre, imported as part of an ensemble of these subheadings, the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.31-61.04.33,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.31 through 61.04.33 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.39.aa,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to tariff item 61.04.39.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.04.39,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.39 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.41-61.04.49,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.41 through 61.04.49 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.04.51-61.04.53,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.51 through 61.04.53 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.59.aa,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to tariff item 61.04.59.aa from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.04.59,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.59 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that: (a) the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties, and (b) the visible lining fabric listed in Note 1 to Chapter 61 satisfies the tariff change requirements provided therein.",0
61.04.61-61.04.69,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.61 through 61.04.69 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.05-61.06,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.05 through 61.06 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.07.11-61.07.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.11 through 61.07.19 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.12 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.07.21,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.21 from tariff item 60.06.21.aa, 60.06.22.aa, 60.06.23.aa or 60.06.24.aa, provided that the good, exclusive of collar, cuffs, waistband or elastic, is wholly of such fabric and the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties; or A change to subheading 61.07.21 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties.",0
61.07.22-61.07.99,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.22 through 61.07.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.08.11-61.08.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.11 through 61.08.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.08.21-61.08.29,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.21 through 61.08.29 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.12 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
61.08.31,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.31 from tariff item 60.06.21.aa, 60.06.22.aa, 60.06.23.aa or 60.06.24.aa, provided that the good, exclusive of collar, cuffs, waistband, elastic or lace, is wholly of such fabric and the good is both cut and sewn or otherwise assembled in the territory of one or both of the Parties; or A change to subheading 61.08.31 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties.",0
61.08.32-61.08.39,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.32 through 61.08.39 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.07 through 53.08 or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or both of the Parties",0
