Chapter/heading/ sub-heading,Description,main_rule,alt_rule,alt_rule_2,flag
53.10,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","through 53.11,",,,0
54.07,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use",through 54.08 or 55.12 through 55.16,,,0
59.02,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.02 from any other heading, except from heading",,,0
51.06,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","through 51.13,",,,0
52.04,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","through 52.12, 53.10 through 53.11 or Chapter 54 through 55",,,0
59.03-59.08,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.03 through 59.08 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12, 53.10 through 53.11, 54.07 through 54.08 or 55.12 through 55.16.",,,0
59.09,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.09 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12 or 53.10 through 53.11, Chapter 54 or heading 55.12 through 55.16.",,,0
59.10,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.10 from any other heading, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, or Chapter 54 through 55",,,0
59.11,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","A change to heading 59.11 from any other chapter, except from heading 51.11 through 51.13, 52.08 through 52.12,",,,0
53.10,"Impregnated, Coated, Covered, or Laminated Textile Fabrics; Textile Articles of a Kind Suitable For Industrial Use","through 53.11, 54.07 through 54.08 or 55.12 through 55.16",,,0
Chapter 60,Knitted or Crocheted Fabrics,,,,0
60.01-60.06,Knitted or Crocheted Fabrics,"A change to heading 60.01 through 60.06 from any other chapter, except from heading 51.06 through 51.13, Chapter 52, heading 53.10 through 53.11, or Chapter 54 through 55",,,0
Chapter 61,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted",,,,0
61.01-61.02,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.01 through 61.02 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.03.10-61.03.22,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.10 through 61.03.22 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.03.23,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","For the purposes of trade between Mexico and the United States of goods of subheading 61.03.23 the following rules of origin apply: A change to sweaters of subheading 61.10.30 classified as part of an ensemble of subheading 61.03.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or 55 or heading 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties","A change to any other good of subheading 61.03.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16, or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties. For the purposes of all other trade of subheading 61.03.23 the following rule of origin applies: A change to subheading 61.03.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16, or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,0
61.03.29-61.03.49,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.03.29 through 61.03.49 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.04.13-61.04.22,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.13 through 61.04.22 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.04.23,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","For the purposes of trade between Mexico and the United States of goods of subheading 61.04.23 the following rules of origin apply: A change to sweaters of subheading 61.10.30 classified as part of an ensemble of subheading 61.04.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or 55 or heading 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties","A change to any other good of subheading 61.04.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties. For the purposes of all other trade of subheading 61.04.23 the following rule of origin applies: A change to subheading 61.04.23 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,0
61.04.29-61.04.69,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.04.29 through 61.04.69 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.05-61.06,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.05 through 61.06 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.07.11-61.07.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.11 through 61.07.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.07.21,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.21 from: (a) circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.21, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.22, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.23 or circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.24, provided that the good, exclusive of collar, cuffs, waistband or elastic, is wholly of such fabric and the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties, and such goods will not be subject to Notes 2 through 4 of this Chapter; or (b) any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
61.07.22-61.07.99,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.07.22 through 61.07.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.08.11-61.08.19,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.11 through 61.08.19 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.08.21,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.21 from: (a) circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.21, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.22, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.23 or circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.24, provided that the good, exclusive of waistband, elastic or lace, is wholly of such fabric and the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties, and such goods will not be subject to Notes 2 through 4 of this Chapter; or (b) any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
61.08.22-61.08.29,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.22 through 61.08.29 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.08.31,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.31 from: (a) circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.21, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.22, circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.23 or circular knit fabric, wholly of cotton yarns exceeding 100 metric number per single yarn, of subheading 60.06.24, provided that the good, exclusive of collar, cuffs, waistband, elastic or lace, is wholly of such fabric and the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties, and such goods will not be subject to Notes 2 through 4 of this Chapter; or (b) any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
61.08.32-61.08.99,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.08.32 through 61.08.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.09,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.09 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.10.11-61.10.20,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.10.11 through 61.10.20 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.10.30,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","For the purposes of trade between Mexico and the United States of goods of subheading 61.10.30 the following rules of origin apply: A change to sweaters of subheading 61.10.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or 55 or heading 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties","A change to any other good of subheading 61.10.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties. For the purposes of all other trade of subheading 61.10.30 the following rule of origin applies: A change to subheading 61.10.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,0
61.10.90,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to subheading 61.10.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.11,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.11 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
61.12-61.17,"Articles of Apparel and Clothing Accessories, Knitted or Crocheted","A change to heading 61.12 through 61.17 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
Chapter 62,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted",,,,0
62.01-62.04,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to heading 62.01 through 62.04 from any other chapter, except from heading 51.06 through 51.13 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
62.05.20-62.05.30,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to any other good of subheading 62.05.20 through 62.05.30 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
62.05.90,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.05.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
62.06,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to heading 62.06 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, or 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
62.07.11,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to any other good of subheading 62.07.11 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
62.07.19-62.07.99,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.07.19 through 62.07.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
62.08-62.11,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to heading 62.08 through 62.11 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54, heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
62.12.10,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.12.10 from any other chapter, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties. Such goods shall not be subject to Notes 3 through 5 of this Chapter",,,0
62.12.20-62.12.90,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to subheading 62.12.20 through 62.12.90 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
62.13-62.17,"Articles of Apparel and Clothing Accessories, Not Knitted or Crocheted","A change to heading 62.13 through 62.17 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 or heading 55.08 through 55.16, 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
Chapter 63,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,,,,0
63.01-63.02,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"A change to heading 63.01 through 63.02 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12 53.10 through 53.11, Chapter 54 through 55, or heading 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
63.03.12-63.03.91,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"A change to subheading 63.03.12 through 63.03.91 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 through 55 or heading 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
63.03.92,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"A change to curtains of subheading 63.03.92 made of fabrics wholly of non-textured polyester filaments from yarn, with a twist of 900 or more turns per meter, wholly of polyesters other than partially oriented, measuring not less than 75 decitex but not more than 80 decitex, and having 24 filaments per yarn of subheading 54.02.44, 54.02.47 or 54.02.52, provided that the good is both cut and sewn or otherwise assembled in the territory of one or more of the Parties, and such goods will not be subject to Note 2 of this Chapter","A change to any other good of subheading 63.03.92 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 through 55 or heading 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,0
63.03.99,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"A change to subheading 63.03.99 from any other chapter, except from heading 51.06 through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 through 55 or heading 58.01 through 58.02 or 60.01 through 60.06, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties",,,0
63.04-63.10,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"A change to heading 63.04 through 63.10 from any other chapter, except from heading",,,0
51.06,Other Made Up Textile Articles; Sets; Worn Clothing and Worn Textile Articles; Rags,"through 51.13, 52.04 through 52.12, 53.10 through 53.11, Chapter 54 through 55 or heading 58.01 through 58.02 or 60.01 through 60.06, or other made-up textile articles of heading 96.19, provided that the good is both cut (or knit to shape) and sewn or otherwise assembled in the territory of one or more of the Parties.",,,0
Chapter 64,"Footwear, Gaiters and the Like; Parts of Such Articles",,,,0
64.01-64.05,"Footwear, Gaiters and the Like; Parts of Such Articles","A change to heading 64.01 through 64.05 from any heading outside that group, except from subheading 64.06.10, provided there is a regional value content of not less than 55 percent under the net cost method",,,0
64.06.10,"Footwear, Gaiters and the Like; Parts of Such Articles","A change to subheading 64.06.10 from any other subheading, except from heading 64.01 through 64.05, provided there is a regional value content of not less than 55 percent under the net cost method",,,0
64.06.20-64.06.90,"Footwear, Gaiters and the Like; Parts of Such Articles",A change to subheading 64.06.20 through 64.06.90 from any other chapter,,,0
Chapter 65,Headgear and Parts Thereof,,,,0
65.01-65.02,Headgear and Parts Thereof,A change to heading 65.01 through 65.02 from any other chapter,,,0
65.04-65.07,Headgear and Parts Thereof,A change to heading 65.04 through 65.07 from any heading outside that group,,,0
Chapter 66,"Umbrellas, Sun Umbrellas, Walking-Sticks, Seat-Sticks, Whips, Riding-Crops and Parts Thereof",,,,0
66.01,"Umbrellas, Sun Umbrellas, Walking-Sticks, Seat-Sticks, Whips, Riding-Crops and Parts Thereof","A change to heading 66.01 from any other heading, except from a combination of both: (a) subheading 66.03.20; and (b) heading 39.20 through 39.21, 50.07, 51.11 through 51.13, 52.08 through 52.12, 53.09 through 53.11, 54.07 through 54.08, 55.12 through 55.16, 56.02 through 56.03, 58.01 through 58.11, 59.01 through 59.11 and 60.01 through 60.06.",,,0
66.02,"Umbrellas, Sun Umbrellas, Walking-Sticks, Seat-Sticks, Whips, Riding-Crops and Parts Thereof",A change to heading 66.02 from any other heading,,,0
66.03,"Umbrellas, Sun Umbrellas, Walking-Sticks, Seat-Sticks, Whips, Riding-Crops and Parts Thereof",A change to heading 66.03 from any other chapter,,,0
Chapter 67,Prepared Feathers and Down and Articles Made of Feathers or of Down; Artificial Flowers; Articles of Human Hair,,,,0
67.01,Prepared Feathers and Down and Articles Made of Feathers or of Down; Artificial Flowers; Articles of Human Hair,A change to heading 67.01 from any other heading,A change to a good of feather or down of heading 67.01 from within that heading or any other heading.,,0
67.02-67.04,Prepared Feathers and Down and Articles Made of Feathers or of Down; Artificial Flowers; Articles of Human Hair,"A change to heading 67.02 through 67.04 from any other heading, including another heading within that group",,,0
Chapter 68,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",,,,0
68.01-68.11,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",A change to heading 68.01 through 68.11 from any other chapter,,,0
68.12.80,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials","A change to clothing, clothing accessories, footwear and headgear of subheading 68.12.80 from any other subheading",A change to fabricated crocidolite fibers or mixtures with a basis of crocidolite or with a basis of crocidolite and magnesium carbonate of subheading 68.12.80 from any other chapter,"A change to yarn or thread of subheading 68.12.80 from any other good of subheading 68.12.80 or any other subheading; A change to cords or string, whether or not plaited, of subheading 68.12.80 from any other good of subheading 68.12.80 or any other subheading, except from woven or knitted fabric of subheading 68.12.80; A change to woven or knitted fabric of subheading 68.12.80 from any other good of subheading 68.12.80 or any other subheading, except from cords or string, whether or not plaited, of subheading 68.12.80; or A change to any other good of subheading 68.12.80 from fabricated crocidolite fibers or mixtures with a basis of crocidolite and magnesium carbonate, yarn or thread, cords or string, whether or not plaited, or woven or knitted fabric of subheading 68.12.80 or from any other subheading.",1
68.12.91,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",A change to subheading 68.12.91 from any other subheading,,,0
68.12.92-68.12.99,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",A change to fabricated asbestos fibers or mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate of subheading 68.12.99 from any other chapter,A change to yarn or thread of subheading 68.12.99 from any other good of subheading 68.12.99 or any other subheading,"A change to cords or string, whether or not plaited, of subheading 68.12.99 from any other good of subheading 68.12.99 or any other subheading, except from woven or knitted fabric of subheading 68.12.99; A change to woven or knitted fabric of subheading 68.12.99 from any other good of subheading 68.12.99 or any other subheading, except from cords or string, whether or not plaited, of subheading 68.12.99; or A change to any other good of subheading 68.12.92 through 68.12.99 from fabricated asbestos fibers or mixtures with a basis of asbestos or with a basis of asbestos and magnesium carbonate, yarn or thread, cords or string, whether or not plaited, or woven or knitted fabric of subheading 68.12.99 or from any subheading outside that group.",1
68.13,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",A change to heading 68.13 from any other heading,,,0
68.14-68.15,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",A change to heading 68.14 through 68.15 from any other chapter,,,0
Chapter 69,Ceramic Products,,,,0
69.01-69.14,Ceramic Products,A change to heading 69.01 through 69.14 from any other chapter,,,0
Chapter 70,Glass and Glassware,,,,0
70.01,Glass and Glassware,A change to heading 70.01 from any other heading,,,0
70.02.10,Glass and Glassware,A change to subheading 70.02.10 from any other heading,,,0
70.02.20,Glass and Glassware,A change to subheading 70.02.20 from any other chapter,,,0
70.02.31,Glass and Glassware,A change to subheading 70.02.31 from any other heading,,,0
70.02.32-70.02.39,Glass and Glassware,A change to subheading 70.02.32 through 70.02.39 from any other chapter,,,0
70.03-70.08,Glass and Glassware,"A change to heading 70.03 through 70.08 from any heading outside that group, except from heading 70.09",,,0
70.09.10-70.09.91,Glass and Glassware,"A change to subheading 70.09.10 through 70.09.91 from any other heading, except from heading 70.03 through 70.08",,,0
70.09.92,Glass and Glassware,A change to subheading 70.09.92 from any other subheading,,,0
70.10-70.18,Glass and Glassware,A change to heading 70.10 through 70.18 from any other chapter,,,0
70.19,Glass and Glassware,"A change to heading 70.19 from any other heading, except from heading 70.07 through 70.18 or 70.20",,,0
70.20,Glass and Glassware,A change to heading 70.20 from any other chapter,,,0
Chapter 71,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",,,,0
71.01-71.05,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.01 through 71.05 from any other chapter,,,0
71.06.10-71.06.92,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)","A change to subheading 71.06.10 through 71.06.92 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 71.06.91, whether or not there is also a change from another subheading, provided that the non-originating materials undergo electrolytic, thermal or chemical separation or alloying.",,0
71.07,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)",A change to heading 71.07 from any other chapter,,,0
71.08.11-71.08.20,"Natural or Cultured Pearls, Precious or Semi-Precious Stones, Precious Metals, Metals Clad with Precious Metal, and Articles Thereof; Imitation Jewellery; Coin (Chapter 71)","A change to subheading 71.08.11 through 71.08.20 from any other subheading, including another subheading within that group","No required change in tariff classification to subheading 71.08.12, whether or not there is also a change from another subheading, provided that the non-originating materials undergo electrolytic, thermal or chemical separation or alloying.",,0
